,Frequency,Voltage
0,10.0,"9.15532e-005
"
1,10.0,"0.000183106
"
2,10.0,"0.000183106
"
3,10.0,"0.000183106
"
4,16.0,"0.00027466
"
5,16.0,"0.00027466
"
6,16.0,"0.00027466
"
7,16.0,"0.00027466
"
8,26.0,"0.000457766
"
9,26.0,"0.000457766
"
10,26.0,"0.000457766
"
11,26.0,"0.000457766
"
12,42.0,"0.000762943
"
13,42.0,"0.000762943
"
14,42.0,"0.000762943
"
15,42.0,"0.000762943
"
16,69.0,"0.00125123
"
17,69.0,"0.00125123
"
18,69.0,"0.00122071
"
19,69.0,"0.00125123
"
20,112.0,"0.00204469
"
21,112.0,"0.00204469
"
22,112.0,"0.00204469
"
23,112.0,"0.00204469
"
24,183.0,"0.00335695
"
25,183.0,"0.0032654
"
26,183.0,"0.00338747
"
27,183.0,"0.0032654
"
28,297.0,"0.00531009
"
29,297.0,"0.00543216
"
30,297.0,"0.00537112
"
31,297.0,"0.00531009
"
32,483.0,"0.00863653
"
33,483.0,"0.00869757
"
34,483.0,"0.00860602
"
35,483.0,"0.00869757
"
36,784.0,"0.0137025
"
37,784.0,"0.0137025
"
38,784.0,"0.0137025
"
39,784.0,"0.013733
"
40,1274.0,"0.0210572
"
41,1274.0,"0.0211488
"
42,1274.0,"0.0211488
"
43,1274.0,"0.0211488
"
44,2069.0,"0.0302736
"
45,2069.0,"0.0303651
"
46,2069.0,"0.0303346
"
47,2069.0,"0.0303041
"
48,3359.0,"0.038666
"
49,3359.0,"0.0387881
"
50,3359.0,"0.038666
"
51,3359.0,"0.0387881
"
52,5455.0,"0.0426333
"
53,5455.0,"0.0426943
"
54,5455.0,"0.0426638
"
55,5455.0,"0.0426943
"
56,8858.0,"0.0400393
"
57,8858.0,"0.0401309
"
58,8858.0,"0.0399477
"
59,8858.0,"0.0400088
"
60,14384.0,"0.0322573
"
61,14384.0,"0.0322268
"
62,14384.0,"0.0322878
"
63,14384.0,"0.0322573
"
64,23357.0,"0.0229799
"
65,23357.0,"0.0229188
"
66,23357.0,"0.0229493
"
67,23357.0,"0.0229188
"
68,37926.0,"0.0151368
"
69,37926.0,"0.0151063
"
70,37926.0,"0.0151063
"
71,37926.0,"0.0151063
"
72,61584.0,"0.00964361
"
73,61584.0,"0.00958258
"
74,61584.0,"0.00958258
"
75,61584.0,"0.0096131
"
76,100000.0,"0.00598148
"
77,100000.0,"0.00592044
"
78,100000.0,"0.00592044
"
79,100000.0,"0.00592044
"
